phone,tz,address,FirstName,Mail,LastName,City,FirstName,phone2,place- working,mikud
556623452,323895888,שבאי הנגבי 63\11,שיפרה,shifra@gmail.com,ארמן,ירושלים,שיפרה,55367746,אלפנית,7878787
556750390,223443546,בן זכאי בן גמלא 11,אלונה,alona@gmail.com,איש ימיני,ירושלים,אלונה,26765467,מורה,ק345346
524435625,332323232,דוד המלך 4,חיים,chaim@gmail.com,כהו,ירושלים,חיים,34425367,מורה,2353565
546635467,885688493,אסתר המלכה 5,אבנר,avner@gmail.com,לוי,אשדוד,אבנר,67748576,מנהל,3453456
875664765,883774957,כהנמן 7,ישראל,israel@gmail.com,אמסלם,נתיבות,ישראל,38945947,עורך דין,2548767
953882739,993846524,זרובבלי 8,שילה,shilo@gmail.com,דנינו,אשקלון,שילה,64553647,עסקן,ק456456
564778721,244546575,אפקסמון 11,מיכאל,michael@gmail.com,בלומברג,אשקלון,מיכאל,37656647,מורה,5646356
566774875,443552673,יהוידע  63\11,מירי,miri@gmail.com,בלס,ירושלים,מירי,97459235,גננת,3648574
554463784,665457664,הנביאים 23,יניב,yaniv@gmail.com,בן נאים,אשדוד,יניב,35236545,מורה,4576456
564739902,343455645,האצל 34,יסכה,iska@gmail.com,בן רחמים,תל אביב,יסכה,34234234,מרצה,5646564
546639904,345676543,הלבונה678,שולמית,shulamit@gmail.com,עמרני,ראשון לציון,שולמית,34235456,גנן,4574567
567732829,346346343,התחלות 67,שלומי,shlomi@gmail.com,דניאלוב,ראשון לציון,שלומי,74576456,איש חברה,3454376
445643783,346676574,אריה בו אליעזר 2,אבי,avi@gmail.com,אלון,ירושלים,אבי,45564545,מזכיר,4568758
534425367,467456456,ורדינון4,מאיר,meir@gmail.com,חדד,ירושלים,מאיר,53453455,טכנאי,5867586
423314488,678869655,אחאן 3,דויד,david@gmail.com,עטיה,תל אביב,דויד,76869567,צבאי,5675675
556624354,537587895,לבונה99,ישעיה,ishayau@gmail.com,שטרית,תל אביב,ישעיה,34435546,ממשלה,5675677
667593974,987567567,אפרסמון9,יהושוע,yehoshua@gmail.com,נילי,ירושלים,יהושוע,57748857,אחות,8797689
